Hornevian,Harmonic,Harmony,Triad,Result
Assertive,Positive,Attachment,Intuition,9
Assertive,Positive,Attachment,Feeling,3
Assertive,Positive,Attachment,Thought,7
Assertive,Positive,Frustration,Intuition,7
Assertive,Positive,Frustration,Feeling,7
Assertive,Positive,Frustration,Thought,7
Assertive,Positive,Rejection,Intuition,8
Assertive,Positive,Rejection,Feeling,2
Assertive,Positive,Rejection,Thought,7
Assertive,Competency,Attachment,Intuition,3
Assertive,Competency,Attachment,Feeling,3
Assertive,Competency,Attachment,Thought,3
Assertive,Competency,Frustration,Intuition,1
Assertive,Competency,Frustration,Feeling,3
Assertive,Competency,Frustration,Thought,7
Assertive,Competency,Rejection,Intuition,8
Assertive,Competency,Rejection,Feeling,3
Assertive,Competency,Rejection,Thought,5
Assertive,Reactive,Attachment,Intuition,8
Assertive,Reactive,Attachment,Feeling,3
Assertive,Reactive,Attachment,Thought,6
Assertive,Reactive,Frustration,Intuition,8
Assertive,Reactive,Frustration,Feeling,4
Assertive,Reactive,Frustration,Thought,7
Assertive,Reactive,Rejection,Intuition,8
Assertive,Reactive,Rejection,Feeling,8
Assertive,Reactive,Rejection,Thought,8
Withdrawn,Positive,Attachment,Intuition,9
Withdrawn,Positive,Attachment,Feeling,9
Withdrawn,Positive,Attachment,Thought,9
Withdrawn,Positive,Frustration,Intuition,9
Withdrawn,Positive,Frustration,Feeling,4
Withdrawn,Positive,Frustration,Thought,7
Withdrawn,Positive,Rejection,Intuition,9
Withdrawn,Positive,Rejection,Feeling,2
Withdrawn,Positive,Rejection,Thought,5
Withdrawn,Competency,Attachment,Intuition,9
Withdrawn,Competency,Attachment,Feeling,3
Withdrawn,Competency,Attachment,Thought,5
Withdrawn,Competency,Frustration,Intuition,1
Withdrawn,Competency,Frustration,Feeling,4
Withdrawn,Competency,Frustration,Thought,5
Withdrawn,Competency,Rejection,Intuition,5
Withdrawn,Competency,Rejection,Feeling,5
Withdrawn,Competency,Rejection,Thought,5
Withdrawn,Reactive,Attachment,Intuition,9
Withdrawn,Reactive,Attachment,Feeling,4
Withdrawn,Reactive,Attachment,Thought,6
Withdrawn,Reactive,Frustration,Intuition,4
Withdrawn,Reactive,Frustration,Feeling,4
Withdrawn,Reactive,Frustration,Thought,4
Withdrawn,Reactive,Rejection,Intuition,8
Withdrawn,Reactive,Rejection,Feeling,4
Withdrawn,Reactive,Rejection,Thought,5
Compliant,Positive,Attachment,Intuition,9
Compliant,Positive,Attachment,Feeling,2
Compliant,Positive,Attachment,Thought,6
Compliant,Positive,Frustration,Intuition,1
Compliant,Positive,Frustration,Feeling,2
Compliant,Positive,Frustration,Thought,7
Compliant,Positive,Rejection,Intuition,2
Compliant,Positive,Rejection,Feeling,2
Compliant,Positive,Rejection,Thought,2
Compliant,Competency,Attachment,Intuition,1
Compliant,Competency,Attachment,Feeling,3
Compliant,Competency,Attachment,Thought,6
Compliant,Competency,Frustration,Intuition,1
Compliant,Competency,Frustration,Feeling,1
Compliant,Competency,Frustration,Thought,1
Compliant,Competency,Rejection,Intuition,1
Compliant,Competency,Rejection,Feeling,2
Compliant,Competency,Rejection,Thought,5
Compliant,Reactive,Attachment,Intuition,6
Compliant,Reactive,Attachment,Feeling,6
Compliant,Reactive,Attachment,Thought,6
Compliant,Reactive,Frustration,Intuition,1
Compliant,Reactive,Frustration,Feeling,4
Compliant,Reactive,Frustration,Thought,6
Compliant,Reactive,Rejection,Intuition,8
Compliant,Reactive,Rejection,Feeling,2
Compliant,Reactive,Rejection,Thought,6
Assertive,Positive,Attachment,Intuition,9
Assertive,Positive,Attachment,Feeling,3
Assertive,Positive,Attachment,Thought,7
Assertive,Positive,Frustration,Intuition,7
Assertive,Positive,Frustration,Feeling,7
Assertive,Positive,Frustration,Thought,7
Assertive,Positive,Rejection,Intuition,8
Assertive,Positive,Rejection,Feeling,2
Assertive,Positive,Rejection,Thought,7
Assertive,Competency,Attachment,Intuition,3
Assertive,Competency,Attachment,Feeling,3
Assertive,Competency,Attachment,Thought,3
Assertive,Competency,Frustration,Intuition,1
Assertive,Competency,Frustration,Feeling,3
Assertive,Competency,Frustration,Thought,7
Assertive,Competency,Rejection,Intuition,8
Assertive,Competency,Rejection,Feeling,3
Assertive,Competency,Rejection,Thought,5
Assertive,Reactive,Attachment,Intuition,8
Assertive,Reactive,Attachment,Feeling,3
Assertive,Reactive,Attachment,Thought,6
Assertive,Reactive,Frustration,Intuition,8
Assertive,Reactive,Frustration,Feeling,4
Assertive,Reactive,Frustration,Thought,7
Assertive,Reactive,Rejection,Intuition,8
Assertive,Reactive,Rejection,Feeling,8
Assertive,Reactive,Rejection,Thought,8
Withdrawn,Positive,Attachment,Intuition,9
Withdrawn,Positive,Attachment,Feeling,9
Withdrawn,Positive,Attachment,Thought,9
Withdrawn,Positive,Frustration,Intuition,9
Withdrawn,Positive,Frustration,Feeling,4
Withdrawn,Positive,Frustration,Thought,7
Withdrawn,Positive,Rejection,Intuition,9
Withdrawn,Positive,Rejection,Feeling,2
Withdrawn,Positive,Rejection,Thought,5
Withdrawn,Competency,Attachment,Intuition,9
Withdrawn,Competency,Attachment,Feeling,3
Withdrawn,Competency,Attachment,Thought,5
Withdrawn,Competency,Frustration,Intuition,1
Withdrawn,Competency,Frustration,Feeling,4
Withdrawn,Competency,Frustration,Thought,5
Withdrawn,Competency,Rejection,Intuition,5
Withdrawn,Competency,Rejection,Feeling,5
Withdrawn,Competency,Rejection,Thought,5
Withdrawn,Reactive,Attachment,Intuition,9
Withdrawn,Reactive,Attachment,Feeling,4
Withdrawn,Reactive,Attachment,Thought,6
Withdrawn,Reactive,Frustration,Intuition,4
Withdrawn,Reactive,Frustration,Feeling,4
Withdrawn,Reactive,Frustration,Thought,4
Withdrawn,Reactive,Rejection,Intuition,8
Withdrawn,Reactive,Rejection,Feeling,4
Withdrawn,Reactive,Rejection,Thought,5
Compliant,Positive,Attachment,Intuition,9
Compliant,Positive,Attachment,Feeling,2
Compliant,Positive,Attachment,Thought,6
Compliant,Positive,Frustration,Intuition,1
Compliant,Positive,Frustration,Feeling,2
Compliant,Positive,Frustration,Thought,7
Compliant,Positive,Rejection,Intuition,2
Compliant,Positive,Rejection,Feeling,2
Compliant,Positive,Rejection,Thought,2
Compliant,Competency,Attachment,Intuition,1
Compliant,Competency,Attachment,Feeling,3
Compliant,Competency,Attachment,Thought,6
Compliant,Competency,Frustration,Intuition,1
Compliant,Competency,Frustration,Feeling,1
Compliant,Competency,Frustration,Thought,1
Compliant,Competency,Rejection,Intuition,1
